Lage;Zeitpunkt der Messung;Wochentag;Fußgänger insgesamt;Temperatur in ºc;Wetterlage;Fußgänger insgesamt Richtung Neumarkt;Fußgänger insgesamt Richtung Neuer Wall;Erwachsene;Kinder;Erwachsene Richtung Neumarkt;Erwachsene Richtung Neuer Wall;Kinder Richtung Neumarkt;Kinder Richtung Neuer Wall
Steinstraße, Moers;2022-07-01 00:00:00 +0200;Friday;8;15;rain;;5;3;8;0;5;3;0
Steinstraße, Moers;2022-07-01 01:00:00 +0200;Friday;5;15;rain;;4;1;5;0;4;1;0
Steinstraße, Moers;2022-07-01 02:00:00 +0200;Friday;2;14;rain;;1;1;2;0;1;1;0
Steinstraße, Moers;2022-07-01 03:00:00 +0200;Friday;2;14;rain;;0;2;2;0;0;2;0
Steinstraße, Moers;2022-07-01 04:00:00 +0200;Friday;9;14;cloudy;;1;8;9;0;1;8;0
Steinstraße, Moers;2022-07-01 05:00:00 +0200;Friday;15;14;cloudy;;11;4;15;0;11;4;0
Steinstraße, Moers;2022-07-01 06:00:00 +0200;Friday;71;13;cloudy;;39;32;71;0;39;32;0
Steinstraße, Moers;2022-07-01 07:00:00 +0200;Friday;105;14;partly-cloudy-day;;52;53;103;2;52;51;0
Steinstraße, Moers;2022-07-01 08:00:00 +0200;Friday;351;15;cloudy;;186;165;336;15;179;157;7
Steinstraße, Moers;2022-07-01 09:00:00 +0200;Friday;843;15;cloudy;;446;397;810;33;424;386;22
Steinstraße, Moers;2022-07-01 10:00:00 +0200;Friday;1414;16;cloudy;;718;696;1371;43;694;677;24
Steinstraße, Moers;2022-07-01 11:00:00 +0200;Friday;1897;18;cloudy;;976;921;1824;73;930;894;46
Steinstraße, Moers;2022-07-01 12:00:00 +0200;Friday;1925;19;cloudy;;967;958;1854;71;930;924;37
Steinstraße, Moers;2022-07-01 13:00:00 +0200;Friday;1617;20;partly-cloudy-day;;778;839;1550;67;740;810;38
Steinstraße, Moers;2022-07-01 14:00:00 +0200;Friday;1526;22;partly-cloudy-day;;758;768;1462;64;729;733;29
Steinstraße, Moers;2022-07-01 15:00:00 +0200;Friday;1454;22;partly-cloudy-day;;713;741;1396;58;680;716;33
Steinstraße, Moers;2022-07-01 16:00:00 +0200;Friday;1507;22;partly-cloudy-day;;750;757;1442;65;714;728;36
Steinstraße, Moers;2022-07-01 17:00:00 +0200;Friday;1446;22;partly-cloudy-day;;730;716;1382;64;697;685;33
Steinstraße, Moers;2022-07-01 18:00:00 +0200;Friday;1105;23;partly-cloudy-day;;582;523;1064;41;561;503;21
Steinstraße, Moers;2022-07-01 19:00:00 +0200;Friday;429;22;partly-cloudy-day;;203;226;422;7;199;223;4
Steinstraße, Moers;2022-07-01 20:00:00 +0200;Friday;237;21;partly-cloudy-day;;121;116;232;5;120;112;1
Steinstraße, Moers;2022-07-01 21:00:00 +0200;Friday;203;20;partly-cloudy-day;;94;109;198;5;91;107;3
Steinstraße, Moers;2022-07-01 22:00:00 +0200;Friday;163;18;clear-night;;63;100;160;3;62;98;1
Steinstraße, Moers;2022-07-01 23:00:00 +0200;Friday;96;17;clear-night;;39;57;95;1;39;56;0
Steinstraße, Moers;2022-07-02 00:00:00 +0200;Saturday;28;16;clear-night;;15;13;28;0;15;13;0
Steinstraße, Moers;2022-07-02 01:00:00 +0200;Saturday;18;15;clear-night;;4;14;17;1;4;13;0
Steinstraße, Moers;2022-07-02 02:00:00 +0200;Saturday;13;14;clear-night;;2;11;13;0;2;11;0
Steinstraße, Moers;2022-07-02 03:00:00 +0200;Saturday;9;13;clear-night;;3;6;9;0;3;6;0
Steinstraße, Moers;2022-07-02 04:00:00 +0200;Saturday;7;12;clear-night;;2;5;7;0;2;5;0
Steinstraße, Moers;2022-07-02 05:00:00 +0200;Saturday;11;13;clear-night;;6;5;11;0;6;5;0
Steinstraße, Moers;2022-07-02 06:00:00 +0200;Saturday;16;12;clear-day;;12;4;16;0;12;4;0
Steinstraße, Moers;2022-07-02 07:00:00 +0200;Saturday;63;13;clear-day;;36;27;62;1;36;26;0
Steinstraße, Moers;2022-07-02 08:00:00 +0200;Saturday;100;16;clear-day;;51;49;98;2;50;48;1
Steinstraße, Moers;2022-07-02 09:00:00 +0200;Saturday;391;18;clear-day;;203;188;380;11;198;182;5
Steinstraße, Moers;2022-07-02 10:00:00 +0200;Saturday;1058;20;clear-day;;545;513;1025;33;527;498;18
Steinstraße, Moers;2022-07-02 11:00:00 +0200;Saturday;1771;22;clear-day;;909;862;1698;73;861;837;48
Steinstraße, Moers;2022-07-02 12:00:00 +0200;Saturday;2060;23;partly-cloudy-day;;1057;1003;1981;79;1014;967;43
