Lage;Zeitpunkt der Messung;Wochentag;Fußgänger insgesamt;Temperatur in ºc;Wetterlage;Fußgänger insgesamt Richtung Neumarkt;Fußgänger insgesamt Richtung Neuer Wall;Erwachsene;Kinder;Erwachsene Richtung Neumarkt;Erwachsene Richtung Neuer Wall;Kinder Richtung Neumarkt;Kinder Richtung Neuer Wall
Steinstraße, Moers;2022-06-01 00:00:00 +0200;Wednesday;11;12;cloudy;7;4;11;0;7;4;0;0
Steinstraße, Moers;2022-06-01 01:00:00 +0200;Wednesday;11;11;cloudy;4;7;10;1;4;6;0;1
Steinstraße, Moers;2022-06-01 02:00:00 +0200;Wednesday;5;10;cloudy;1;4;5;0;1;4;0;0
Steinstraße, Moers;2022-06-01 03:00:00 +0200;Wednesday;29;9;partly-cloudy-night;14;15;26;3;14;12;0;3
Steinstraße, Moers;2022-06-01 04:00:00 +0200;Wednesday;4;8;partly-cloudy-night;1;3;4;0;1;3;0;0
Steinstraße, Moers;2022-06-01 05:00:00 +0200;Wednesday;8;8;partly-cloudy-night;4;4;8;0;4;4;0;0
Steinstraße, Moers;2022-06-01 06:00:00 +0200;Wednesday;62;8;partly-cloudy-day;42;20;58;4;40;18;2;2
Steinstraße, Moers;2022-06-01 07:00:00 +0200;Wednesday;161;9;partly-cloudy-day;91;70;151;10;85;66;6;4
Steinstraße, Moers;2022-06-01 08:00:00 +0200;Wednesday;332;11;partly-cloudy-day;177;155;314;18;167;147;10;8
Steinstraße, Moers;2022-06-01 09:00:00 +0200;Wednesday;735;13;partly-cloudy-day;400;335;692;43;377;315;23;20
Steinstraße, Moers;2022-06-01 10:00:00 +0200;Wednesday;1179;16;partly-cloudy-day;572;607;1105;74;537;568;35;39
Steinstraße, Moers;2022-06-01 11:00:00 +0200;Wednesday;1337;16;partly-cloudy-day;699;638;1290;47;679;611;20;27
Steinstraße, Moers;2022-06-01 12:00:00 +0200;Wednesday;1384;16;partly-cloudy-day;652;732;1331;53;622;709;30;23
Steinstraße, Moers;2022-06-01 13:00:00 +0200;Wednesday;1340;17;partly-cloudy-day;693;647;1290;50;663;627;30;20
Steinstraße, Moers;2022-06-01 14:00:00 +0200;Wednesday;1145;16;partly-cloudy-day;562;583;1108;37;545;563;17;20
